TITLE: Water balance - stream discharge from Degerö catchment north-eastern Sweden
SITES STATION: Svartberget Research Station
TIME PERIOD: 2012-04-25 - 2023-11-23
TIME RESOLUTION: Daily
TIME ZONE: UTC +1
SAMPLING POINT: Degerö, C18
LATITUDE: 64.188711
LONGITUDE: 19.543273
ALTITUDE: 265.8 m a.s.l

FILE RETRIEVED FROM: https://data.fieldsites.se
DATA POLICY: SITES data is licensed under a Creative Commons Attribution 4.0 international license (http://creativecommons.org/licenses/by/4.0/).

COMMENTS: Equation: Q = A * SL^B [m3 s-1, m], for stream level data see CSV: SITES_WB-SL_SVB-DEG-C18_20090417-20231123_L2_daily.csv - https://meta.fieldsites.se/objects/zt8K4r9_Mbh8wHfcp83lvpmk
Document - Description of flume see PDF: SITES_WB-Q_SVB_DEG-C18_discharge-description_from_2012.pdf - https://meta.fieldsites.se/objects/ntI69_FEOojpTH6jml-X5tmF, Catchment area 2.729 km2

PARAMETERS AND UNITS: Q (m3 s-1)

PARAMETER AND COLUMN INFO:
TIMESTAMP - Time in [YYYY-MM-DD] UTC+1
Q - discharge (m3 s-1) daily average of 5 min sampling intervals calculated from stream level data and flume characteristics.
####
TIMESTAMP,Q
2014-01-07,0.018217471
2014-01-08,0.019534811
2014-01-09,0.020028933
2014-01-10,0.020082761
2014-01-11,0.01866114
2014-01-12,0.015784386
2014-01-13,0.013038005
2014-01-14,0.010766567
2014-01-15,0.008789306
2014-01-16,0.007297798
2014-01-17,0.006267459
2014-01-18,0.005505118
2014-01-19,0.004553407
2014-01-20,0.004179306
2014-01-21,0.00400538
2014-01-22,0.00376954
2014-01-23,0.003534049
2014-01-24,0.003254404
2014-01-25,0.002928195
2014-01-26,0.002781146
2014-01-27,0.002692069
2014-01-28,0.002516929
2014-01-29,0.002399589
2014-01-30,0.002277256
2014-01-31,0.002179996
2014-02-01,0.002125648
2014-02-02,0.002083811
2014-02-03,0.002026374
2014-02-04,0.001953905
2014-02-05,0.001919766
2014-02-06,0.00190252
2014-02-07,0.001885884
2014-02-08,0.00190809
2014-02-09,0.001876432
2014-02-10,0.001858067
2014-02-11,0.001794808
2014-02-12,0.00172399
2014-02-13,0.00168998
2014-02-14,0.001663829
2014-02-15,0.001615544
2014-02-16,0.001594747
2014-02-17,0.001545072
2014-02-18,0.001488973
2014-02-19,0.00144105
2014-02-20,0.001402343
2014-02-21,0.001390874
2014-02-22,0.001392039
2014-02-23,0.001360061
2014-02-24,0.001429888
2014-02-25,0.001492002
2014-02-26,0.001343632
2014-02-27,0.00128228
2014-02-28,0.001264863
2014-03-01,0.001253895
2014-03-02,0.001253024
2014-03-03,0.001260907
2014-03-04,0.001257396
2014-03-05,0.001263769
2014-03-06,0.001269698
2014-03-07,0.001366036
2014-03-08,0.002216871
2014-03-09,0.001954786
2014-03-10,0.00251954
2014-03-11,0.002571497
2014-03-12,0.004034465
2014-03-13,0.014188015
2014-03-14,0.035682189
2014-03-15,0.05666611
2014-03-16,0.044297274
2014-03-17,0.026334611
2014-03-18,0.015620906
2014-03-19,0.010548963
2014-03-20,0.007784872
2014-03-21,0.006321891
2014-03-22,0.005317612
2014-03-23,0.004760526
2014-03-24,0.004443408
2014-03-25,0.004107146
2014-03-26,0.003798044
2014-03-27,0.003587021
2014-03-28,0.003478887
2014-03-29,0.003687012
2014-03-30,0.004931807
2014-03-31,0.007485156
2014-04-01,0.007866376
2014-04-02,0.007910796
2014-04-03,0.008572014
2014-04-04,0.010389904
2014-04-05,0.011848104
2014-04-06,0.013073353
2014-04-07,0.012561132
2014-04-08,0.012550932
2014-04-09,0.015004068
2014-04-10,0.021849615
2014-04-11,0.043365031
2014-04-12,0.099222317
2014-04-13,0.17569814
2014-04-14,0.248494172
2014-04-15,0.214711797
2014-04-16,0.157738749
2014-04-17,0.164522395
2014-04-18,0.199866099
2014-04-19,0.196365313
2014-04-20,0.207293915
2014-04-21,0.191127548
2014-04-22,0.169895643
2014-04-23,0.137666815
2014-04-24,0.111616512
2014-04-25,0.093510268
2014-04-26,0.080473553
2014-04-27,0.07146727
2014-04-28,0.064453635
2014-04-29,0.058744289
2014-04-30,0.052339075
2014-05-01,0.048144372
2014-05-02,0.043175414
2014-05-03,0.039091367
2014-05-04,0.035749149
2014-05-05,0.031804509
2014-05-06,0.030699651
2014-05-07,0.028889298
2014-05-08,0.026582887
2014-05-09,0.02461513
2014-05-10,0.03408446
2014-05-11,0.046556972
2014-05-12,0.05849668
2014-05-13,0.058763917
2014-05-14,0.05128465
2014-05-15,0.041872177
2014-05-16,0.035476916
2014-05-17,0.030603587
2014-05-18,0.02751106
2014-05-19,0.024456508
